,Title,Published_date,Views,Likes,Favourite,Comments,Month
0,Who Has a Higher IQ: ChatGPT Vs Data Scientist,2023-11-30,863,33,0,15,Nov
1,A Data Dream Come True,2023-11-17,1583,79,0,22,Nov
2,The Death of the Full-Time Job (Rise of the Contractor),2023-09-22,5414,366,0,74,Sep
3,How to Survive a Down Data Job Market,2023-09-05,16153,530,0,63,Sep
4,The Harsh Reality of the Data Job Market,2023-08-24,105059,2558,0,292,Aug
5,7 Industries AI will Aggressively Disrupt,2023-08-14,5770,236,0,41,Aug
6,What's in My Data Science Travel Bag? (50+ Flights Last Year),2023-08-07,3995,124,0,47,Aug
7,7 Enticing Jobs AI Will Create,2023-07-24,4493,193,0,36,Jul
8,The ChatGPT Code Interpreter is OVERRATED,2023-07-22,4004,142,0,31,Jul
9,Exciting Announcement!,2023-06-23,6551,294,0,50,Jun
10,AI: A Customer Service Revolution?,2023-05-26,3782,119,0,35,May
11,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,2023-05-16,30126,1032,0,59,May
12,How I Would Learn Data Science with AI (If I Could Start Over),2023-05-04,32632,1380,0,77,May
13,This AI question will determine our future,2023-04-06,4250,261,0,37,Apr
14,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03,70923,828,0,79,Apr
15,Your current portfolio is actually hurting you #shorts,2023-03-30,6945,411,0,7,Mar
16,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27,6952,381,0,4,Mar
17,you're job searching wrong. #shorts,2023-03-23,4136,252,0,3,Mar
18,The Economics of Data Roles #shorts,2023-03-21,8355,532,0,11,Mar
19,Why your phone knows everything you say #shorts,2023-03-18,2854,126,0,7,Mar
20,Read these for a successful career. #shorts,2023-03-16,3006,243,0,2,Mar
21,Is Your Phone Actually Listening to You? #shorts,2023-03-09,2435,44,0,5,Mar
22,How I Realized I Was a Bad Manager #shorts,2023-03-07,2653,126,0,1,Mar
23,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03,20206,758,0,51,Mar
24,Why I Quit Data Science... and then crawled back #shorts,2023-03-01,7938,266,0,13,Mar
25,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27,2601,162,0,2,Feb
26,Learning On the companies dime #shorts,2023-02-24,3086,173,0,1,Feb
27,The Best Way to Transition to Data Science? #shorts,2023-02-21,4043,254,0,6,Feb
28,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17,6827,394,0,6,Feb
29,Don't Go into Data for the Money #shorts,2023-02-15,3737,219,0,12,Feb
30,First Data Science Project? Watch This.,2023-02-13,6795,346,0,22,Feb
31,How to Approach Applying for a Data Role #shorts,2023-02-08,3660,243,0,7,Feb
