Youtube Analysis Data,,,,,,,
Sr No,Title,Published_date,Views,Likes,Favourite,Comments,Month
0,Who Has a Higher IQ: ChatGPT Vs Data Scientist,45260,863,33,0,15,Nov
1,A Data Dream Come True,45247,1583,79,0,22,Nov
2,The Death of the Full-Time Job (Rise of the Contractor),45191,5414,366,0,74,Sep
3,How to Survive a Down Data Job Market,45174,16153,530,0,63,Sep
4,The Harsh Reality of the Data Job Market,45162,105059,2558,0,292,Aug
5,7 Industries AI will Aggressively Disrupt,45152,5770,236,0,41,Aug
6,What's in My Data Science Travel Bag? (50+ Flights Last Year),45145,3995,124,0,47,Aug
7,7 Enticing Jobs AI Will Create,45131,4493,193,0,36,Jul
8,The ChatGPT Code Interpreter is OVERRATED,45129,4004,142,0,31,Jul
9,Exciting Announcement!,45100,6551,294,0,50,Jun
10,AI: A Customer Service Revolution?,45072,3782,119,0,35,May
11,Beginner Kaggle Data Science Project Walk-Through (Housing Prices) | With ChatGPT,45062,30126,1032,0,59,May
12,How I Would Learn Data Science with AI (If I Could Start Over),45050,32632,1380,0,77,May
13,This AI question will determine our future,45022,4250,261,0,37,Apr
14,I'll Never Code the Same Again... (GPT-4 is OP),45019,70923,828,0,79,Apr
15,Your current portfolio is actually hurting you #shorts,45015,6945,411,0,7,Mar
16,"Traditional ""networking"" is stupid. Do THIS instead #shorts",45012,6952,381,0,4,Mar
17,you're job searching wrong. #shorts,45008,4136,252,0,3,Mar
18,The Economics of Data Roles #shorts,45006,8355,532,0,11,Mar
19,Why your phone knows everything you say #shorts,45003,2854,126,0,7,Mar
20,Read these for a successful career. #shorts,45001,3006,243,0,2,Mar
21,Is Your Phone Actually Listening to You? #shorts,44994,2435,44,0,5,Mar
22,How I Realized I Was a Bad Manager #shorts,44992,2653,126,0,1,Mar
23,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),44988,20206,758,0,51,Mar
24,Why I Quit Data Science... and then crawled back #shorts,44986,7938,266,0,13,Mar
25,The Best Place to Look for Data Science Opportunities #shorts,44984,2601,162,0,2,Feb
26,Learning On the companies dime #shorts,44981,3086,173,0,1,Feb
27,The Best Way to Transition to Data Science? #shorts,44978,4043,254,0,6,Feb
28,Avoid this Massive Data Science Learning Mistake #shorts,44974,6827,394,0,6,Feb
29,Don't Go into Data for the Money #shorts,44972,3737,219,0,12,Feb
30,First Data Science Project? Watch This.,44970,6795,346,0,22,Feb
31,How to Approach Applying for a Data Role #shorts,44965,3660,243,0,7,Feb
32,The Hard Reality of Data Science Work #shorts,44963,14910,832,0,14,Feb
33,How Much Money Does a Data Scientist Make? #shorts,44960,4543,191,0,6,Feb
34,These 3 Things Make Data Science Special #shorts,44958,4212,336,0,7,Feb
35,Will Data Science Be Automated? #shorts,44953,9214,397,0,8,Jan
36,Is Data Science A Good Fit For You? #shorts,44951,5057,290,0,11,Jan
37,5 Books I Wish I Read Earlier In My Career,44949,9241,517,0,50,Jan
38,How To Start Working on Data Science Projects (As a Beginner) #shorts,44945,6945,603,0,13,Jan
39,What Data Science Tool Would I Learn First? #shorts,44943,6252,472,0,10,Jan
40,How long does it take to become a Data Scientist? #shorts,44938,6518,482,0,6,Jan
41,Where & how to start your Data Science Journey #shorts,44935,6753,414,0,2,Jan
42,How I Would NOT Learn Data Science in 2023.,44929,125937,4158,0,254,Jan
43,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],44909,4870,204,0,28,Dec
44,The Essential Programming Concepts For Learning Data Science,44879,20449,851,0,46,Nov
45,The Data Content House: What You Missed,44841,10475,348,0,49,Oct
46,Is Data Science A Good Career?,44833,61658,1940,0,139,Sep
47,IRON ANALYST (Teaser) #shorts,44831,5646,366,0,24,Sep
48,When a New Data Scientist Joins The Team,44802,16467,748,0,135,Aug
49,State of Data Science - Web Data,44778,10436,359,0,34,Aug
50,Data Science Town Hall - State of Data Science,44777,9967,374,0,37,Aug
51,The Programming Roadmap For Data Science,44771,27465,1305,0,64,Jul
52,5 Impactful Data Science Projects For Your Portfolio,44739,79868,2991,0,90,Jun
53,Can AI Fix my Baseball Swing?,44722,7663,341,0,68,Jun
54,Every Data Scientist... (funny!),44705,16888,855,0,146,May
55,State of Data Science (Town Hall) ft - Data Squad,44688,15986,428,0,65,May
56,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,44655,61129,1559,0,85,Apr
57,Why You Are NOT Landing Data Jobs ... Yet,44645,21493,894,0,113,Mar
58,Data Scientists VS NFT Scam,44623,4660,189,0,45,Mar
59,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,44613,11218,512,0,144,Feb
60,What Professional Data Scientists ACTUALLY Do,44606,96528,3341,0,187,Feb
61,Can You Analyze My Data Better Than I Can?,44592,7361,324,0,60,Jan
62,Giving Back to My Most Engaged Subscribers!,44589,2331,119,0,89,Jan
63,How to Make $1 Billion Betting on Horse Racing with Machine Learning,44585,35453,986,0,133,Jan
64,Should You Be Excited About Web 3? (As a Data Scientist),44578,8869,424,0,83,Jan
65,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,44575,8548,254,0,33,Jan
66,The Only Data Science Explanation You Need,44571,60205,2238,0,172,Jan
67,We Need to Talk About The LinkedIn Machine Learning Assessment.,44564,14504,647,0,144,Jan
68,How I Would Learn Data Science in 2022 (If I Had to Start Over),44557,342526,15020,0,536,Dec
69,What the Heck is WSL 2? (My New Favorite Tool),44547,13070,440,0,67,Dec
70,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,44540,8034,572,0,25,Dec
71,How Zillow Lost $500 MILLION With Machine Learning,44533,24735,1186,0,142,Dec
72,Why Is Data Engineering So HOT Right Now?,44526,29558,1103,0,141,Nov
73,Is Data Science Dying?,44519,124155,3884,0,363,Nov
74,7 Incredible Books That Transformed My Health and My Life,44512,8170,388,0,112,Nov
75,Why EVERYONE Should Start a Podcast (Including YOU),44505,3631,202,0,46,Nov
76,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,44498,13594,302,0,39,Oct
77,ML Ops: What is it REALLY?,44491,7066,286,0,66,Oct
78,Business Skills for Data Science: What are they REALLY?,44487,6863,303,0,50,Oct
79,#66DaysOfData Round 3 Live Event! (feat. @statquest),44481,2208,124,0,5,Oct
80,Roasting My First Data Science Project (Common Project Mistakes),44477,5948,283,0,64,Oct
81,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),44428,12906,529,0,110,Aug
82,Project Presentation - Expectations vs. Reality (funny) #shorts,44415,10241,434,0,32,Aug
83,Data Science Project - Expectations vs Reality (funny) #shorts,44414,41555,1612,0,32,Aug
84,How I Learned to Learn.,44408,50888,2368,0,209,Jul
85,Is Spotify Shuffle Really Random? #Shorts,44398,10830,597,0,50,Jul
86,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),44393,2428,93,0,30,Jul
87,Why are APIs Important for Data Science?,44386,10065,456,0,95,Jul
88,Is Your Phone REALLY Listening to You?,44380,5201,280,0,116,Jul
89,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,44372,15735,611,0,121,Jun
90,#66DaysOfData - 3 Reasons to Start!,44365,4101,224,0,41,Jun
91,#66DaysOfData - What is it? #shorts,44358,9260,397,0,54,Jun
92,A Quick Data Science Project Tip! #SHORTS,44350,16706,1021,0,89,Jun
93,Discouraged with Data Science? - Watch THIS video.,44344,7476,394,0,195,May
94,How Data Science Projects Pay Off,44338,10794,602,0,146,May
95,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,44330,10649,491,0,134,May
96,What is a lambda function (python)? #shorts,44329,15556,960,0,49,May
97,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,44323,31283,1655,0,64,May
98,What is Pandas? (Data & Data Science) #shorts,44316,24031,1242,0,87,Apr
99,The 7 Biggest Data Science  Beginner Mistakes,44309,77331,3435,0,284,Apr
100,Data Scientist Reacts: REAL Data Science Job Application Data,44302,23526,695,0,85,Apr
101,Why You Probably Won't Become a Data Scientist,44295,138499,4040,0,481,Apr
102,How to Go From Data Analyst to Data Scientist,44288,54092,1544,0,178,Apr
103,Why I Have 2 Offices for Data Science & Content Creation,44281,3991,138,0,92,Mar
104,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,44274,18227,350,0,108,Mar
105,My Regrets as a Data Science Student,44267,23990,883,0,112,Mar
106,My Daily Battle With Time - Will I Win? [Vlog],44263,3838,196,0,83,Mar
107,What is the Future of my Comment Leaderboard Project?,44253,5582,201,0,81,Feb
108,How to Build a Website  - Building my ULTIMATE Portfolio Website,44246,6808,174,0,51,Feb
109,Why I Quit Data Science,44239,104904,2349,0,345,Feb
110,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,44225,10729,559,0,116,Jan
111,How I Balance Data Science and Content Creation (7 Secrets),44219,7001,294,0,126,Jan
112,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),44212,9842,304,0,52,Jan
113,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),44204,22941,698,0,134,Jan
114,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),44198,38233,1144,0,147,Jan
115,What is the #66DaysOfData?,44191,70175,2329,0,202,Dec
